leader_id,company_id,name,title,tenure_since,years_at_company,advanced_degree,degree_institution,functional_expertise,internal_promotion
42,9,Tina Shaw,VP Sales,2021,3,NO,,OEM Sales,YES
43,10,Mei-Ling Torres,CEO,2021,3,YES,Northwestern,EdTech,YES
44,10,Alex Freeman,CTO,2021,3,YES,MIT,Engineering,NO
45,10,Ryan Park,CFO,2023,1,NO,,Finance,YES
46,10,Kira Patel,VP Growth,2022,2,NO,,Sales & Marketing,NO
47,11,Patrick O'Brien,CEO,2018,6,YES,University of Missouri,Insurance,YES
48,11,Donna Chase,CFO,2020,4,YES,Wash U St Louis,Insurance Finance,NO
49,11,Leon Harris,COO,2019,5,YES,U of Kansas,Insurance Ops,NO
50,11,Rachel Moore,VP Product,2021,3,NO,,Product,YES
51,11,Frank Diaz,VP Claims,2020,4,YES,Missouri State,Claims Management,YES
52,12,Carla Mendez,CEO,2019,5,YES,University of Florida,Real Estate,NO
53,12,Noah Clarke,CFO,2021,3,NO,,Finance,YES
54,12,Yvonne Fox,COO,2020,4,YES,FSU,Property Management,YES
55,12,Sean Walsh,VP Growth,2022,2,NO,,Business Development,NO
56,12,Laura Chen,VP Technology,2023,1,NO,,PropTech,NO
57,13,Yusuf Adeyemi,CEO,2022,2,YES,University of Washington,Cybersecurity,YES
58,13,Aisha Patel,CTO,2022,2,YES,Stanford,Security Engineering,YES
59,13,Morgan Lee,CFO,2023,1,NO,,Finance,YES
60,13,Chris Jordan,VP Sales,2023,1,NO,,Enterprise Sales,YES
61,14,Rachel Nguyen,CEO,2018,6,YES,University of Minnesota,Environmental Science,NO
62,14,Todd Warren,CFO,2020,4,YES,U of St Thomas,Environmental Finance,YES
63,14,Scott Hill,COO,2019,5,YES,Purdue,Environmental Ops,NO
64,14,Diane Fox,Chief Science Officer,2018,6,YES,Michigan,Environmental Engineering,NO
65,14,Kevin Nash,VP Business Dev,2022,2,NO,,BD,NO
66,15,Dr. Samuel Addo,CEO,2016,8,YES,Harvard Medical,Pediatrics,YES
67,15,Claire Newton,CFO,2019,5,YES,Boston College,Healthcare Finance,NO
68,15,Dr. Rita Pham,Chief Medical Officer,2016,8,YES,Children's Hospital Boston,Pediatric Medicine,NO
69,15,Mike Stern,COO,2020,4,NO,,Clinical Ops,NO
70,15,Emily Walsh,VP Growth,2022,2,NO,,Strategy,NO
71,16,Nina Kowalski,CEO,2022,2,YES,University of Florida,Logistics,YES
72,16,Brent Hall,CFO,2023,1,NO,,Finance,NO
73,16,Tom Greene,COO,2022,2,YES,Georgia Tech,Cold Chain Ops,NO
74,16,Paula Ramos,VP Sales,2023,1,NO,,Sales,NO
75,17,Aaron Whitfield,CEO,2018,6,YES,Oregon State,Food Science,YES
76,17,Karen Ellis,CFO,2020,4,YES,U of Oregon,Food & Bev Finance,YES
77,17,Jose Herrera,COO,2019,5,YES,Cal Poly SLO,Food Manufacturing,YES
78,17,Brenda Kim,VP Sales,2021,3,NO,,CPG Sales,YES
79,17,Ian Scott,VP Innovation,2022,2,YES,Cornell,Product Development,NO
80,18,Dr. Fatima Hassan,CEO,2020,4,YES,Duke,Physical Therapy,YES
81,18,Dan Powell,CFO,2022,2,NO,,Finance,NO
82,18,Dr. Marie Stone,Chief Clinical Officer,2020,4,YES,UNC,Clinical PT,NO
83,18,Alex Nguyen,VP Operations,2021,3,NO,,Multi-Site Ops,NO
84,18,Tamara Hill,VP Marketing,2023,1,NO,,Healthcare Marketing,NO
